Question_Index,Query,Method,Pearson,Spearman,Num_Items
0,total number of death row inmates in the us,ContextCite32,0.6153340500427391,0.33434804902403553,10
0,total number of death row inmates in the us,WSS32,0.648619969803074,0.4255338805760452,10
0,total number of death row inmates in the us,ContextCite64,0.6627212554156929,0.47416632407045034,10
0,total number of death row inmates in the us,WSS64,0.7273401276001672,0.8267515394048879,10
0,total number of death row inmates in the us,ContextCite100,0.7538605742472826,0.6261427099904665,10
0,total number of death row inmates in the us,WSS100,0.7865468343056723,0.8085143730944858,10
0,total number of death row inmates in the us,TMC5,0.5977659856251137,0.4255338805760452,10
0,total number of death row inmates in the us,BetaShap (U)5,0.5304047712696438,0.3404271044608361,10
0,total number of death row inmates in the us,TMC10,0.8120642280259135,0.7538028741632801,10
0,total number of death row inmates in the us,BetaShap (U)10,0.6845342916744681,0.5410359338752574,10
0,total number of death row inmates in the us,TMC20,0.8584448956796371,0.8024353176576853,10
0,total number of death row inmates in the us,BetaShap (U)20,0.6416224774528666,0.46808726863364974,10
0,total number of death row inmates in the us,LOO,0.4702718653954219,0.4146341463414635,10
1,big little lies season 2 how many episodes,ContextCite32,0.9885727283360709,0.6463534793182504,10
1,big little lies season 2 how many episodes,WSS32,0.9833961059857191,0.6524511536514414,10
1,big little lies season 2 how many episodes,ContextCite64,0.9973076102668418,0.737818594316116,10
1,big little lies season 2 how many episodes,WSS64,0.9976147977309457,0.8841627783127011,10
1,big little lies season 2 how many episodes,ContextCite100,0.9944771069560912,0.6280604563186774,10
1,big little lies season 2 how many episodes,WSS100,0.9979525161623878,0.7744046403152623,10
1,big little lies season 2 how many episodes,TMC5,0.9655706135606268,0.6707441766510145,10
1,big little lies season 2 how many episodes,BetaShap (U)5,0.9265260711788659,0.6341581306518683,10
1,big little lies season 2 how many episodes,TMC10,0.962964422994355,0.7012325483169698,10
1,big little lies season 2 how many episodes,BetaShap (U)10,0.8102259864789032,0.6524511536514414,10
1,big little lies season 2 how many episodes,TMC20,0.9884260895665525,0.6097674333191042,10
1,big little lies season 2 how many episodes,BetaShap (U)20,0.8586541034526772,0.5426930156540026,10
1,big little lies season 2 how many episodes,LOO,0.9606021562872559,0.8895705521472393,10
2,who sang waiting for a girl like you,ContextCite32,0.9890573026296766,0.737818594316116,10
2,who sang waiting for a girl like you,WSS32,0.9836673670877142,0.3719581343246536,10
2,who sang waiting for a girl like you,ContextCite64,0.9910184446646633,0.8593312353676015,10
2,who sang waiting for a girl like you,WSS64,0.9890093585206559,0.8292837093139817,10
2,who sang waiting for a girl like you,ContextCite100,0.9895104522502284,0.7865999889816444,10
2,who sang waiting for a girl like you,WSS100,0.9922917059887373,0.8719674296463189,10
2,who sang waiting for a girl like you,TMC5,0.9879968999983627,0.6036697589859131,10
2,who sang waiting for a girl like you,BetaShap (U)5,0.9739802403032688,0.29268836799317,10
2,who sang waiting for a girl like you,TMC10,0.987490047378694,0.6707441766510145,10
2,who sang waiting for a girl like you,BetaShap (U)10,0.97871659024324,0.6768418509842056,10
2,who sang waiting for a girl like you,TMC20,0.9884480294237329,0.6707441766510145,10
2,who sang waiting for a girl like you,BetaShap (U)20,0.9850386839867026,0.6158651076522952,10
2,who sang waiting for a girl like you,LOO,0.9846125294361265,0.8527607361963191,10
3,where do you cross the arctic circle in norway,ContextCite32,0.9439874737389665,0.7926976633148354,10
3,where do you cross the arctic circle in norway,WSS32,0.8873437484017455,0.3536651113250804,10
3,where do you cross the arctic circle in norway,ContextCite64,0.9883537998294349,0.4329348776565639,10
3,where do you cross the arctic circle in norway,WSS64,0.9715457915773777,0.28049301932678794,10
3,where do you cross the arctic circle in norway,ContextCite100,0.9862819904115407,0.7195255713165428,10
3,where do you cross the arctic circle in norway,WSS100,0.9975880221328678,0.4573255749893281,10
3,where do you cross the arctic circle in norway,TMC5,0.9753179929323484,0.5609860386535759,10
3,where do you cross the arctic circle in norway,BetaShap (U)5,0.9994834107657773,0.7012325483169698,10
3,where do you cross the arctic circle in norway,TMC10,0.9174491146121454,0.8536744066467458,10
3,where do you cross the arctic circle in norway,BetaShap (U)10,0.8804857589363452,0.7865999889816444,10
3,where do you cross the arctic circle in norway,TMC20,0.9523693340363234,0.8963581269790831,10
3,where do you cross the arctic circle in norway,BetaShap (U)20,0.8813227608566567,0.7987953376480265,10
3,where do you cross the arctic circle in norway,LOO,0.7855903835416472,0.7423312883435583,10
4,who is the main character in green eggs and ham,ContextCite32,0.9289393069292242,0.737818594316116,10
4,who is the main character in green eggs and ham,WSS32,0.9728830147498941,0.8658697553131278,10
4,who is the main character in green eggs and ham,ContextCite64,0.9916431294526703,0.5841005905879426,10
4,who is the main character in green eggs and ham,WSS64,0.9700505232164691,0.8841627783127011,10
4,who is the main character in green eggs and ham,ContextCite100,0.9833629502302397,0.5000092953216654,10
4,who is the main character in green eggs and ham,WSS100,0.9776675096551903,0.8841627783127011,10
4,who is the main character in green eggs and ham,TMC5,0.951355840572893,0.737818594316116,10
4,who is the main character in green eggs and ham,BetaShap (U)5,0.690087591735082,0.7744046403152623,10
4,who is the main character in green eggs and ham,TMC10,0.9692387254209222,0.9756278933105667,10
4,who is the main character in green eggs and ham,BetaShap (U)10,0.7494362953003094,0.9573348703109935,10
4,who is the main character in green eggs and ham,TMC20,0.985491550536658,0.9207488243118473,10
4,who is the main character in green eggs and ham,BetaShap (U)20,0.7436738376837377,0.7744046403152623,10
4,who is the main character in green eggs and ham,LOO,0.8314035507567916,0.22699386503067484,10
5,do veins carry blood to the heart or away,ContextCite32,0.9705988403545381,0.8210032962032697,10
5,do veins carry blood to the heart or away,WSS32,0.955495986313101,0.8597720809799368,10
5,do veins carry blood to the heart or away,ContextCite64,0.9804542398249819,0.8658697553131278,10
5,do veins carry blood to the heart or away,WSS64,0.9834369214130018,0.9085534756454652,10
5,do veins carry blood to the heart or away,ContextCite100,0.9783189621447959,0.9451395216446115,10
5,do veins carry blood to the heart or away,WSS100,0.9920856835325153,0.8414790579803637,10
5,do veins carry blood to the heart or away,TMC5,0.9175220531175329,0.737818594316116,10
5,do veins carry blood to the heart or away,BetaShap (U)5,0.7508248077862925,0.3963488316574177,10
5,do veins carry blood to the heart or away,TMC10,0.9229891393032719,0.9146511499786562,10
5,do veins carry blood to the heart or away,BetaShap (U)10,0.6669982565163922,0.5670837129867669,10
5,do veins carry blood to the heart or away,TMC20,0.9696427868591727,0.9390418473114204,10
5,do veins carry blood to the heart or away,BetaShap (U)20,0.729253159957368,0.7622092916488802,10
5,do veins carry blood to the heart or away,LOO,0.8919222856455539,0.3865030674846627,10
