Question_Index,Query,Method,Pearson,Spearman,NDCG,KendallTau,Precision_at_1,Precision_at_2,Precision_at_3,Precision_at_5,Hit_rate_at_k,Reciprocal_Rank,Num_Items
0,What is the primary function of a Zylosian Geo-Resonator?,ContextCite32,0.981461460701951,0.33333333333333326,0.9730409872545589,0.24444444444444444,1.0,0.5,0.3333333333333333,0.4,1,1.0,10
0,What is the primary function of a Zylosian Geo-Resonator?,KernelShap32,0.9822598089779577,0.22424242424242422,0.9063437635100876,0.19999999999999998,1.0,0.5,0.3333333333333333,0.6,1,1.0,10
0,What is the primary function of a Zylosian Geo-Resonator?,BetaShap (U)32,0.8535306416419629,0.7212121212121211,0.9970154469350727,0.6,1.0,0.5,0.6666666666666666,0.8,1,1.0,10
0,What is the primary function of a Zylosian Geo-Resonator?,TMC32,0.9371446309767866,0.6727272727272726,0.9970154469350727,0.5555555555555555,1.0,0.5,0.6666666666666666,0.6,1,1.0,10
0,What is the primary function of a Zylosian Geo-Resonator?,ContextCite64,0.9882064214483932,0.18787878787878787,0.9767194888378289,0.15555555555555553,1.0,0.5,0.3333333333333333,0.4,1,1.0,10
0,What is the primary function of a Zylosian Geo-Resonator?,KernelShap64,0.9962980341733622,0.8666666666666665,1.0,0.7777777777777777,1.0,1.0,1.0,0.6,1,1.0,10
0,What is the primary function of a Zylosian Geo-Resonator?,BetaShap (U)64,0.8381665138013995,0.49090909090909085,0.9970154469350727,0.37777777777777777,1.0,0.5,0.6666666666666666,0.6,1,1.0,10
0,What is the primary function of a Zylosian Geo-Resonator?,TMC64,0.9507549626581683,0.5878787878787878,0.9970154469350727,0.5111111111111111,1.0,0.5,0.6666666666666666,0.6,1,1.0,10
0,What is the primary function of a Zylosian Geo-Resonator?,ContextCite100,0.9932930400288883,0.7454545454545454,0.9971330620653548,0.6,1.0,0.5,0.6666666666666666,0.6,1,1.0,10
0,What is the primary function of a Zylosian Geo-Resonator?,KernelShap100,0.9975838324589115,0.9515151515151514,1.0,0.8666666666666666,1.0,1.0,1.0,0.8,1,1.0,10
0,What is the primary function of a Zylosian Geo-Resonator?,BetaShap (U)100,0.6758975236560467,0.5878787878787878,0.9964020972946983,0.4222222222222222,1.0,0.5,0.6666666666666666,0.8,1,1.0,10
0,What is the primary function of a Zylosian Geo-Resonator?,TMC100,0.9727294107913648,0.6363636363636362,0.9932960122287677,0.5111111111111111,1.0,0.5,0.3333333333333333,0.8,1,1.0,10
0,What is the primary function of a Zylosian Geo-Resonator?,LOO,0.9889327940006845,0.05454545454545454,0.9401363888810031,0.022222222222222223,1.0,0.5,0.6666666666666666,0.4,1,1.0,10
1,Why was the Q3 launch of Project Nebula at Vortex Corp postponed?,ContextCite32,0.973192508756203,0.7333333333333332,1.0,0.6,1.0,1.0,1.0,0.8,1,1.0,10
1,Why was the Q3 launch of Project Nebula at Vortex Corp postponed?,KernelShap32,0.9839259305533355,0.9030303030303028,1.0,0.8222222222222221,1.0,1.0,1.0,0.8,1,1.0,10
1,Why was the Q3 launch of Project Nebula at Vortex Corp postponed?,BetaShap (U)32,0.9266957605142547,0.7575757575757575,1.0,0.6444444444444444,1.0,1.0,1.0,0.6,1,1.0,10
1,Why was the Q3 launch of Project Nebula at Vortex Corp postponed?,TMC32,0.9778714808499649,0.7818181818181817,0.9933565974168331,0.6,1.0,0.5,1.0,0.8,1,1.0,10
1,Why was the Q3 launch of Project Nebula at Vortex Corp postponed?,ContextCite64,0.9927157839358066,0.7939393939393938,0.9933565974168331,0.6444444444444444,1.0,0.5,1.0,0.8,1,1.0,10
1,Why was the Q3 launch of Project Nebula at Vortex Corp postponed?,KernelShap64,0.9896237522682968,0.5878787878787878,1.0,0.4666666666666666,1.0,1.0,1.0,0.6,1,1.0,10
1,Why was the Q3 launch of Project Nebula at Vortex Corp postponed?,BetaShap (U)64,0.9232403899591615,0.8909090909090909,1.0,0.7777777777777777,1.0,1.0,1.0,0.8,1,1.0,10
1,Why was the Q3 launch of Project Nebula at Vortex Corp postponed?,TMC64,0.9634719978234638,0.8424242424242423,1.0,0.7333333333333333,1.0,1.0,1.0,0.8,1,1.0,10
1,Why was the Q3 launch of Project Nebula at Vortex Corp postponed?,ContextCite100,0.9942773743148237,0.8909090909090909,0.9933565974168331,0.7777777777777777,1.0,0.5,1.0,0.6,1,1.0,10
1,Why was the Q3 launch of Project Nebula at Vortex Corp postponed?,KernelShap100,0.9963033547035989,0.5636363636363636,1.0,0.4222222222222222,1.0,1.0,1.0,0.6,1,1.0,10
1,Why was the Q3 launch of Project Nebula at Vortex Corp postponed?,BetaShap (U)100,0.8058391746841338,0.7696969696969697,1.0,0.6444444444444444,1.0,1.0,1.0,0.8,1,1.0,10
