Question_Index,Query,Method,Pearson,Spearman,NDCG,KendallTau,Precision_at_1,Precision_at_3,Precision_at_5,Hit_rate_at_k,Reciprocal_Rank,Num_Items
0,total number of death row inmates in the us,ContextCite32,0.12609721766683754,0.05454545454545454,0.9167713352245966,-0.022222222222222223,0.0,0.6666666666666666,0.4,1,0.5,10
0,total number of death row inmates in the us,KernelShap32,-0.03799810094170508,-0.18787878787878787,0.7140053815233779,-0.06666666666666667,0.0,0.6666666666666666,0.4,1,0.5,10
0,total number of death row inmates in the us,BetaShap (U)32,-0.29632706131757264,-0.24848484848484845,0.6628085179895602,-0.15555555555555553,1.0,0.3333333333333333,0.4,1,1.0,10
0,total number of death row inmates in the us,TMC32,-0.5277092563389382,-0.4545454545454545,0.5416659017343127,-0.37777777777777777,0.0,0.3333333333333333,0.4,1,0.5,10
0,total number of death row inmates in the us,ContextCite64,0.21195983275361066,0.18787878787878787,0.8096247252372467,0.1111111111111111,0.0,0.3333333333333333,0.4,1,0.5,10
0,total number of death row inmates in the us,KernelShap64,0.24706198835021173,0.2121212121212121,0.780431090267215,0.19999999999999998,1.0,0.6666666666666666,0.8,1,1.0,10
0,total number of death row inmates in the us,BetaShap (U)64,-0.640949370998548,-0.5030303030303029,0.6959874648687844,-0.28888888888888886,1.0,0.3333333333333333,0.2,1,1.0,10
0,total number of death row inmates in the us,TMC64,-0.6482975863118646,-0.6242424242424242,0.4929880875576577,-0.4666666666666666,0.0,0.0,0.4,0,0.25,10
0,total number of death row inmates in the us,ContextCite100,0.4515296556724525,0.33333333333333326,0.8477173422643647,0.24444444444444444,1.0,0.6666666666666666,0.6,1,1.0,10
0,total number of death row inmates in the us,KernelShap100,0.5466555078896378,0.23636363636363633,0.7630125476223609,0.15555555555555553,1.0,0.6666666666666666,0.6,1,1.0,10
0,total number of death row inmates in the us,BetaShap (U)100,-0.2822427242781735,-0.18787878787878787,0.8365964273215948,-0.06666666666666667,1.0,0.6666666666666666,0.4,1,1.0,10
0,total number of death row inmates in the us,TMC100,-0.6127294794283078,-0.6969696969696969,0.47876252296506494,-0.5555555555555555,0.0,0.0,0.2,0,0.25,10
0,total number of death row inmates in the us,LOO,0.4269838310460017,0.309090909090909,0.9234421776970666,0.19999999999999998,1.0,1.0,0.8,1,1.0,10
