Question_Index,Query,Method,Pearson,Spearman,NDCG,KendallTau,Precision_at_1,Precision_at_2,Precision_at_3,Precision_at_5,Hit_rate_at_k,Reciprocal_Rank,Num_Items
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,ContextCite32,0.8526743203701658,0.7939393939393938,0.8946423392374118,0.6,1.0,1.0,0.6666666666666666,0.6,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,KernelShap32,0.9486014744873168,0.8909090909090909,0.9947553078870657,0.7333333333333333,1.0,0.5,1.0,0.8,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,BetaShap (U)32,0.9213801846292055,0.41818181818181815,0.8815060905786732,0.24444444444444444,1.0,1.0,0.6666666666666666,0.4,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,TMC32,0.9366866693254188,0.6242424242424242,0.8960480903131778,0.4666666666666666,1.0,1.0,0.6666666666666666,0.6,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,ContextCite64,0.960203355344095,0.9151515151515152,0.9947553078870657,0.7777777777777777,1.0,0.5,1.0,0.8,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,KernelShap64,0.9835254199947477,0.8424242424242423,1.0,0.7333333333333333,1.0,1.0,1.0,0.8,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,BetaShap (U)64,0.9502852157202974,0.8060606060606059,0.9947553078870657,0.6444444444444444,1.0,0.5,1.0,0.8,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,TMC64,0.989611250956603,0.8545454545454544,1.0,0.7333333333333333,1.0,1.0,1.0,0.8,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,ContextCite100,0.9764643308826338,0.9757575757575757,1.0,0.911111111111111,1.0,1.0,1.0,0.8,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,KernelShap100,0.9922835877891024,0.8424242424242423,1.0,0.7333333333333333,1.0,1.0,1.0,0.8,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,BetaShap (U)100,0.9407448265863487,0.9393939393939393,0.9947553078870657,0.8222222222222221,1.0,0.5,1.0,0.8,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,TMC100,0.9944091460674638,0.9757575757575757,1.0,0.911111111111111,1.0,1.0,1.0,1.0,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,LOO,0.9111935427120964,0.3696969696969697,0.9089116407264435,0.28888888888888886,1.0,1.0,0.6666666666666666,0.6,1,1.0,10
1,What kind of energy does the 'Stellar Converter' on the planet Xylos produce?,ContextCite32,0.9554893534410968,0.9393939393939393,0.9950893350745519,0.8222222222222221,1.0,0.5,1.0,0.8,1,1.0,10
1,What kind of energy does the 'Stellar Converter' on the planet Xylos produce?,KernelShap32,0.9778756481091827,0.8666666666666665,0.9687804551333232,0.7333333333333333,1.0,1.0,0.6666666666666666,1.0,1,1.0,10
1,What kind of energy does the 'Stellar Converter' on the planet Xylos produce?,BetaShap (U)32,0.8279759046768614,0.6606060606060605,0.9297679388487589,0.5555555555555555,1.0,1.0,0.6666666666666666,0.8,1,1.0,10
