query,scores,doc_flags
"""Girls Girls"", was released by Atlantic Records founded by who?","[ 5.29205617 -2.28023032 -2.38440401 -8.60306691 -3.62220746 -2.24568414
 -3.74713054  6.48610439 -0.55281242 69.57585328]","['P', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'P']"
What is the name of the character in Quantico played by the same actor who starred in Tower Block?,"[ 5.72129245e+01 -7.53204294e-01 -1.22336433e-03  7.55780252e-01
 -4.98333823e-01  2.51038912e+00  2.34215543e+00  1.07285373e+00
 -4.84496580e-01  3.56331644e+00]","['P', 'N', 'N', 'N', 'N', 'P', 'N', 'N', 'N', 'N']"
 How many MLB teams did the baseball player who had 61 home runs in 1961 play for?,"[ 3.91605839  9.81960074 -8.2099449   7.52904626  3.1157644   2.38442793
  2.33760247 36.19816008  2.10074206  7.52165065]","['N', 'P', 'P', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
Did Mala Mala or Train Life come first?,"[ 0.38296059  1.81824351 -0.42516153 -9.45052696 -3.21765398 20.19026151
  0.60085689 -0.52147944 45.96280166  6.1748831 ]","['N', 'N', 'N', 'N', 'N', 'P', 'N', 'N', 'P', 'N']"
Professional racing driver Stéphane Richelmi was born in which Principality of Monaco? ,"[-1.60079584  0.48152564 -1.26268984  1.08451588  0.09033006 -1.18148584
  7.1419979  -0.43945855  0.50666295 -0.83062516]","['N', 'N', 'N', 'N', 'N', 'N', 'P', 'N', 'P', 'N']"
How many burial grounds does the cemetery the John Watts sculpture is installed in consist of?,"[-4.38503123e-01 -2.34766147e+00 -1.76307153e-01 -5.59981925e+00
  1.67109287e+00  5.15774530e-02 -9.89864399e-01 -6.23401820e+00
  1.93860812e+00  1.50518591e+02]","['N', 'N', 'N', 'P', 'N', 'N', 'N', 'N', 'N', 'P']"
"The song ""2 Wicky"" was in what movie based on a book by Lois Duncan?","[19.36140565 -3.39873453 -3.29235718 16.37894392 -2.24216924 -0.7400485
 -2.92523567 -5.22908053 -1.98507333  0.48085031]","['P', 'N', 'N', 'P', 'N', 'N', 'N', 'N', 'N', 'N']"
What former member of the Democratic Party was at the grand opening event of SkyJump Law Vegas?,"[ 8.65629904  7.09750032  5.68473487  4.25288735  3.42979444 13.17929204
  5.91220482  4.62949233  4.3982626  12.47928165]","['N', 'N', 'N', 'N', 'N', 'P', 'N', 'N', 'P', 'N']"
"What is the county seat of the county where Vesta, Indiana is located?","[16.93352322 -2.09794066 -2.08705697 -1.78379091 -1.5715018  -0.59645518
 -3.95983396  0.59950148 -1.92411641 15.32505874]","['P', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'P']"
"Who was the featured singer in Katy Perry's song ""E.T.""?","[-1.01380871 -1.37051316  0.23740121 -0.10082223 -2.58879744 20.56457293
  1.82763791  0.54998788 -1.29236236 -0.11213583]","['N', 'N', 'N', 'N', 'N', 'P', 'P', 'N', 'N', 'N']"
