Question_Index,Query,Method,Pearson,Spearman,Num_Items
0,"""Girls Girls"", was released by Atlantic Records founded by who?",ContextCite32,0.9858355622730879,0.960490759014502,10
0,"""Girls Girls"", was released by Atlantic Records founded by who?",WSS32,0.9857454473106606,0.960490759014502,10
0,"""Girls Girls"", was released by Atlantic Records founded by who?",ContextCite64,0.9931414845435353,0.9544117035777013,10
0,"""Girls Girls"", was released by Atlantic Records founded by who?",WSS64,0.9931885350124275,0.9544117035777013,10
0,"""Girls Girls"", was released by Atlantic Records founded by who?",ContextCite100,0.9955423896229837,0.9422535927041001,10
0,"""Girls Girls"", was released by Atlantic Records founded by who?",WSS100,0.9956303035634283,0.9422535927041001,10
0,"""Girls Girls"", was released by Atlantic Records founded by who?",TMC32,0.9987244598733092,0.8145934285312865,10
0,"""Girls Girls"", was released by Atlantic Records founded by who?",BetaShap (U)32,0.9670112563421354,0.5592731001856595,10
0,"""Girls Girls"", was released by Atlantic Records founded by who?",TMC64,0.9990312983468239,0.9240164263936982,10
0,"""Girls Girls"", was released by Atlantic Records founded by who?",BetaShap (U)64,0.9889571030392748,0.601826488243264,10
0,"""Girls Girls"", was released by Atlantic Records founded by who?",TMC100,0.998692126393642,0.9057792600832962,10
0,"""Girls Girls"", was released by Atlantic Records founded by who?",BetaShap (U)100,0.9905999992863097,0.6261427099904665,10
0,"""Girls Girls"", was released by Atlantic Records founded by who?",LOO,0.9829837737967343,0.46341463414634154,10
1,What is the name of the character in Quantico played by the same actor who starred in Tower Block?,ContextCite32,0.9910687709453577,0.735565707852878,10
1,What is the name of the character in Quantico played by the same actor who starred in Tower Block?,WSS32,0.9909994280258584,0.735565707852878,10
1,What is the name of the character in Quantico played by the same actor who starred in Tower Block?,ContextCite64,0.9971063564516162,0.8936211492096949,10
1,What is the name of the character in Quantico played by the same actor who starred in Tower Block?,WSS64,0.9971697329873773,0.8936211492096949,10
1,What is the name of the character in Quantico played by the same actor who starred in Tower Block?,ContextCite100,0.9960222168586957,0.7781190959104828,10
1,What is the name of the character in Quantico played by the same actor who starred in Tower Block?,WSS100,0.9961620314496815,0.8206724839680872,10
1,What is the name of the character in Quantico played by the same actor who starred in Tower Block?,TMC32,0.9972130809800026,0.7963562622208846,10
1,What is the name of the character in Quantico played by the same actor who starred in Tower Block?,BetaShap (U)32,0.9709895894972738,0.8267515394048879,10
1,What is the name of the character in Quantico played by the same actor who starred in Tower Block?,TMC64,0.9990862641640534,0.857146816588891,10
1,What is the name of the character in Quantico played by the same actor who starred in Tower Block?,BetaShap (U)64,0.9804608745355563,0.8753839828992931,10
1,What is the name of the character in Quantico played by the same actor who starred in Tower Block?,TMC100,0.9991778385841756,0.8632258720256917,10
1,What is the name of the character in Quantico played by the same actor who starred in Tower Block?,BetaShap (U)100,0.980420553498532,0.8510677611520904,10
1,What is the name of the character in Quantico played by the same actor who starred in Tower Block?,LOO,0.9826891229906732,0.46341463414634154,10
2, How many MLB teams did the baseball player who had 61 home runs in 1961 play for?,ContextCite32,0.9938419321837496,0.9300954818304988,10
2, How many MLB teams did the baseball player who had 61 home runs in 1961 play for?,WSS32,0.9939849909360573,0.9300954818304988,10
2, How many MLB teams did the baseball player who had 61 home runs in 1961 play for?,ContextCite64,0.9931473961499675,0.705170430668875,10
2, How many MLB teams did the baseball player who had 61 home runs in 1961 play for?,WSS64,0.9933811917770745,0.7294866524160775,10
2, How many MLB teams did the baseball player who had 61 home runs in 1961 play for?,ContextCite100,0.9935389484869444,0.8024353176576853,10
2, How many MLB teams did the baseball player who had 61 home runs in 1961 play for?,WSS100,0.9933836541769064,0.8024353176576853,10
2, How many MLB teams did the baseball player who had 61 home runs in 1961 play for?,TMC32,0.9963253712611316,0.8632258720256917,10
2, How many MLB teams did the baseball player who had 61 home runs in 1961 play for?,BetaShap (U)32,0.9642333283846557,0.7477238187264794,10
2, How many MLB teams did the baseball player who had 61 home runs in 1961 play for?,TMC64,0.9981377998377642,0.8753839828992931,10
2, How many MLB teams did the baseball player who had 61 home runs in 1961 play for?,BetaShap (U)64,0.9788066581344596,0.7477238187264794,10
2, How many MLB teams did the baseball player who had 61 home runs in 1961 play for?,TMC100,0.9985071695402252,0.8875420937728943,10
2, How many MLB teams did the baseball player who had 61 home runs in 1961 play for?,BetaShap (U)100,0.9831753601755437,0.7477238187264794,10
2, How many MLB teams did the baseball player who had 61 home runs in 1961 play for?,LOO,0.9835284504574033,0.5121951219512195,10
3,Did Mala Mala or Train Life come first?,ContextCite32,0.7978083286990263,0.7477238187264794,10
3,Did Mala Mala or Train Life come first?,WSS32,0.7976808214682021,0.7477238187264794,10
3,Did Mala Mala or Train Life come first?,ContextCite64,0.9564906703150459,0.9483326481409007,10
3,Did Mala Mala or Train Life come first?,WSS64,0.9511883609977597,0.9483326481409007,10
3,Did Mala Mala or Train Life come first?,ContextCite100,0.9887659689302255,0.9240164263936982,10
3,Did Mala Mala or Train Life come first?,WSS100,0.9848549330898054,0.9118583155200968,10
3,Did Mala Mala or Train Life come first?,TMC32,0.9910714377200619,0.960490759014502,10
3,Did Mala Mala or Train Life come first?,BetaShap (U)32,0.9250777291556294,0.8997002046464956,10
3,Did Mala Mala or Train Life come first?,TMC64,0.9808775978153018,0.960490759014502,10
3,Did Mala Mala or Train Life come first?,BetaShap (U)64,0.9442180509523969,0.9240164263936982,10
3,Did Mala Mala or Train Life come first?,TMC100,0.9950732457340264,0.960490759014502,10
3,Did Mala Mala or Train Life come first?,BetaShap (U)100,0.9702592902395949,0.9483326481409007,10
3,Did Mala Mala or Train Life come first?,LOO,0.7448885760932074,0.42682926829268303,10
4,Professional racing driver Stéphane Richelmi was born in which Principality of Monaco? ,ContextCite32,0.9689620205868332,0.6200636545536659,10
4,Professional racing driver Stéphane Richelmi was born in which Principality of Monaco? ,WSS32,0.9689427415599031,0.6200636545536659,10
4,Professional racing driver Stéphane Richelmi was born in which Principality of Monaco? ,ContextCite64,0.9781093561085106,0.7841981513472833,10
