Question_Index,Query,Method,Pearson,Spearman,NDCG,KendallTau,Precision_at_1,Precision_at_2,Precision_at_3,Precision_at_5,Hit_rate_at_k,Reciprocal_Rank,Num_Items
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,ContextCite32,0.9601402310895557,0.8424242424242423,1.0,0.7333333333333333,1.0,1.0,1.0,0.8,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,KernelShap32,0.9801320857635238,0.7696969696969697,0.9474258395404695,0.5111111111111111,0.0,1.0,0.6666666666666666,1.0,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,WSS32,0.9337134987928093,0.9030303030303028,0.9715068482438367,0.7777777777777777,0.0,1.0,1.0,1.0,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,BetaShap (U)32,0.8920906032041458,0.5515151515151515,0.9591859744896418,0.37777777777777777,1.0,0.5,1.0,0.8,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,TMC32,0.9518380743311092,0.5636363636363636,1.0,0.4222222222222222,1.0,1.0,1.0,0.8,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,ContextCite64,0.9896914140781922,0.8303030303030302,1.0,0.6888888888888888,1.0,1.0,1.0,1.0,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,KernelShap64,0.9919272768270846,0.7696969696969697,1.0,0.6,1.0,1.0,1.0,1.0,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,WSS64,0.9924555807405913,0.9030303030303028,1.0,0.7777777777777777,1.0,1.0,1.0,1.0,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,BetaShap (U)64,0.902078030211285,0.7454545454545454,0.7845348822035028,0.5111111111111111,1.0,0.5,0.6666666666666666,1.0,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,TMC64,0.9850034915615891,0.7939393939393938,0.975918991296633,0.6,1.0,1.0,0.6666666666666666,1.0,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,ContextCite100,0.9901048266964956,0.9030303030303028,0.975918991296633,0.7777777777777777,1.0,1.0,0.6666666666666666,1.0,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,KernelShap100,0.9920481138951732,0.8060606060606059,1.0,0.6888888888888888,1.0,1.0,1.0,1.0,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,WSS100,0.994113310447704,0.8787878787878788,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,BetaShap (U)100,0.9048833342118532,0.8787878787878788,0.9403971839227342,0.7333333333333333,1.0,0.5,0.6666666666666666,1.0,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,TMC100,0.9904219540941539,0.8303030303030302,0.975918991296633,0.6888888888888888,1.0,1.0,0.6666666666666666,1.0,1,1.0,10
0,What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,LOO,0.9009159992680986,0.5636363636363636,0.9474258395404695,0.37777777777777777,0.0,1.0,0.6666666666666666,0.8,1,1.0,10
1,What kind of energy does the 'Stellar Converter' on the planet Xylos produce?,ContextCite32,0.9857469271450829,0.9151515151515152,1.0,0.8222222222222221,1.0,1.0,1.0,0.8,1,1.0,10
